question_type,position,question,reponse,score,profile_type,commentaire-questions,commentaire-reponses,ordre
screening,1,Connaissez-vous l'intelligence artificielle ?,"Oui, je suis un expert en IA, avec une profonde connaissance des dernières recherches et des applications pratiques dans divers secteurs",4,Machine Learning Engineer,,,
screening,1,Connaissez-vous l'intelligence artificielle ?,"Oui, j'ai une solide compréhension théorique et pratique de l'IA, avec une expérience dans l'application de ces technologies dans des projets réels",3,Machine Learning Engineer,,,
screening,1,Connaissez-vous l'intelligence artificielle ?,"Oui, j'ai une connaissance de base des concepts d'IA et de machine learning, principalement acquise à travers des lectures en ligne.",2,Machine Learning Engineer,,,
screening,1,Connaissez-vous l'intelligence artificielle ?,"Non, je ne m'y connais absolument pas",1,Machine Learning Engineer,,,
screening,2,Quels types d'algorithme savez-vous construire ?,"Je peux concevoir et entraîner des modèles de deep learning complexes, comme les CNN et les RNN, pour des tâches spécifiques",4,Machine Learning Engineer,,,
screening,2,Quels types d'algorithme savez-vous construire ?,"Je peux mettre en œuvre des algorithmes simple comme ceux de classification et de régression simples, tels que la régression linéaire et K-NN ou autres petits algorithmes",3,Machine Learning Engineer,,,
screening,2,Quels types d'algorithme savez-vous construire ?,"Je maîtrise la mise en œuvre d'algorithmes avancés, y compris les SVM et les réseaux neuronaux",2,Machine Learning Engineer,,,
screening,2,Quels types d'algorithme savez-vous construire ?,Non je sais pas construire d'algorithme,1,Machine Learning Engineer,,,
expertise,1,Savez-vous programmer des modèles d'IA  ?,"Oui, je suis expert en programmation de modèles d'IA, capable d'optimiser et de personnaliser des architectures de modèles pour des performances maximales selon plusieurs languages",4,Machine Learning Engineer,,,
expertise,1,Savez-vous programmer des modèles d'IA  ?,"Oui, je peux programmer des modèles complexes en utilisant des frameworks avancés comme TensorFlow et/ou PyTorch",3,Machine Learning Engineer,,,
expertise,1,Savez-vous programmer des modèles d'IA  ?,"Oui, je connais les bases de la programmation en Python et/ou R pour le machine learning",2,Machine Learning Engineer,,,
expertise,1,Savez-vous programmer des modèles d'IA  ?,Je ne sais pas construire d'algorithme,1,Machine Learning Engineer,,,
expertise,2,Savez-vous utiliser des bibliothèques telles que Keras et Theano pour manipuler des données de ML ?,"Oui, je suis un utilisateur avancé, capable de créer des architectures de modèles complexes et d'optimiser les performances. J'utilise aussi d'autres bibliothèques plus spécifiques pour certaines tâches",4,Machine Learning Engineer,,,
expertise,2,Savez-vous utiliser des bibliothèques telles que Keras et Theano pour manipuler des données de ML ?,"Je maîtrise et j'ai une bonne compréhensions de ces bibliothèques, voire d'autres bibliothèques",3,Machine Learning Engineer,,,
expertise,2,Savez-vous utiliser des bibliothèques telles que Keras et Theano pour manipuler des données de ML ?,"Oui, j'ai une expérience de base pour la construction de réseaux neuronaux simples",2,Machine Learning Engineer,,,
expertise,2,Savez-vous utiliser des bibliothèques telles que Keras et Theano pour manipuler des données de ML ?,"Non, je ne sais pas manipuler des données de ML",1,Machine Learning Engineer,,,
mastery,1,"Êtes-vous familiarisé avec l'utilisation de feature stores pour améliorer l'efficacité des processus de ML ?
","Oui, j'ai une expertise approfondie dans l'utilisation et l'implémentation de feature stores complexes pour des entreprises, améliorant significativement l'efficacité et la réutilisation dans les processus de ML",4,Machine Learning Engineer,,,
mastery,1,Êtes-vous familiarisé avec l'utilisation de feature stores pour améliorer l'efficacité des processus de ML ?,Je suis assez à l'aise avec les feature stores; j'ai mis en place des feature stores en utilisant des outils populaires comme Feast dans des environnements de développement ainsi que d'autres,3,Machine Learning Engineer,,,
mastery,1,Êtes-vous familiarisé avec l'utilisation de feature stores pour améliorer l'efficacité des processus de ML ?,"Oui, j'ai une compréhension basique des feature stores et j'ai utilisé des solutions simples comme Featuretools pour des projets personnels ainsi que d'autres",2,Machine Learning Engineer,,,
mastery,1,Êtes-vous familiarisé avec l'utilisation de feature stores pour améliorer l'efficacité des processus de ML ?,Je ne sais pas à l'aise avec les feature stores,1,Machine Learning Engineer,,,
mastery,2,Savez-vous orchestrer des pipelines de données pour l'extraction de caractéristiques et le ré-entraînement de modèles ?,"Oui, j'ai une expertise avancée dans l'orchestration de pipelines de données complexes pour des environnements de production à grande échelle, en utilisant des technologies comme Kubeflow ainsi que d'autres pour gérer efficacement l'extraction de caractéristiques et le ré-entraînement automatique des modèles",4,Machine Learning Engineer,,,
mastery,2,Savez-vous orchestrer des pipelines de données pour l'extraction de caractéristiques et le ré-entraînement de modèles ?,"Je suis compétent dans l'orchestration de pipelines de données, ayant utilisé Apache Airflow pour automatiser l'extraction de caractéristiques et le ré-entraînement de modèles sur des projets de taille moyenne",3,Machine Learning Engineer,,,
mastery,2,Savez-vous orchestrer des pipelines de données pour l'extraction de caractéristiques et le ré-entraînement de modèles ?,"J'ai une expérience limitée dans l'orchestration de pipelines de données, principalement en utilisant des outils comme Apache NiFi ou d'autres pour des tâches simples d'extraction de caractéristiques",2,Machine Learning Engineer,,,
mastery,2,Savez-vous orchestrer des pipelines de données pour l'extraction de caractéristiques et le ré-entraînement de modèles ?,"Non, je ne sais pas faire de réentrainement",1,Machine Learning Engineer,,,
mastery,3,"Savez-vous intégrer et évaluer la performance de modèles ML au sein d'APIs, garantissant ainsi leur efficacité et de gérer efficacement les coûts liés à l'utilisation de modèles ?
","Oui, j'ai une expertise approfondie dans l'intégration de modèle de ML dans d'APIs, avec une forte attention portée à l'optimisation de la latence, à l'efficacité du modèle et à la gestion des coûts, en utilisant des techniques avancées pour le monitoring, l'évaluation, et l'ajustement des performances en temps réel.",4,Machine Learning Engineer,,,
mastery,3,"Savez-vous intégrer et évaluer la performance de modèles ML au sein d'APIs, garantissant ainsi leur efficacité et de gérer efficacement les coûts liés à l'utilisation de modèles ?
","Oui, j'ai une expérience basique avec l'intégration de modèles ML simples dans des APIs, mais je suis encore en train d'apprendre à optimiser la performance et les coûts.",3,Machine Learning Engineer,,,
mastery,3,"Savez-vous intégrer et évaluer la performance de modèles ML au sein d'APIs, garantissant ainsi leur efficacité et de gérer efficacement les coûts liés à l'utilisation de modèles ?
","Je suis assez compétent dans l'intégration de modèles ML dans des APIs et j'ai utilisé des outils de monitoring pour évaluer leur performance, tout en ayant une conscience des coûts associés.",2,Machine Learning Engineer,,,
mastery,3,"Savez-vous intégrer et évaluer la performance de modèles ML au sein d'APIs, garantissant ainsi leur efficacité et de gérer efficacement les coûts liés à l'utilisation de modèles ?
",Je ne sais pas faire ou je bidouille comme je peux,1,Machine Learning Engineer,,,
screening,1,Savez-vous interpréter des cartes et des données spatiales pour des projets environnementaux ou urbains ?,"Oui, je développe des applications pour la navigation précise basée sur la localisation",4,Geomaticien,,"Modif de la question :
Savez-vous interpréter des cartes et des données spatiales pour des projets environnementaux ou urbains dans le cadre d'une prise de décision ?

Développer une application pour la navigation n'est pas le plus pertinent.
Proposition ""Oui, je développe des applications web / interactives qui facilitent la mise à disposition de mes analyses spatiales""",
screening,1,Savez-vous interpréter des cartes et des données spatiales pour des projets environnementaux ou urbains ?,"Oui, j'analyse des tendances spatiales pour la prise de décision stratégique",3,Geomaticien,,,
screening,1,Savez-vous interpréter des cartes et des données spatiales pour des projets environnementaux ou urbains ?,"Oui, je peux cartographier et comprendre les caractéristiques de territoires",2,Geomaticien,,,
screening,1,Savez-vous interpréter des cartes et des données spatiales pour des projets environnementaux ou urbains ?,"Non, je ne sais pas faire",1,Geomaticien,,,
screening,2,Disposez-vous d'expérience avec des outils spécifiques pour la gestion et l'analyse de données spatiales ?,"Oui, j'utilise des logiciels de SIG pour des analyses spatiales avancées",4,Geomaticien,,,
screening,2,Disposez-vous d'expérience avec des outils spécifiques pour la gestion et l'analyse de données spatiales ?,"Oui, j'ai recours à des outils de CAO pour la cartographie et le design assisté par ordinateur",3,Geomaticien,,,
screening,2,Disposez-vous d'expérience avec des outils spécifiques pour la gestion et l'analyse de données spatiales ?,"Oui, j'emploie des plateformes de cartographie open source pour la visualisation de données",2,Geomaticien,,,
screening,2,Disposez-vous d'expérience avec des outils spécifiques pour la gestion et l'analyse de données spatiales ?,Non jamais utilisé ce type d'outil,1,Geomaticien,,,
screening,1,Avez vous déjà eu ou seriez-vous en mesure de supporter la responsabilité d’un projet data mené par une équipe ?,"Oui, absolument. J'ai déjà eu l'opportunité de diriger plusieurs projets d'équipe et j'en ai supporté la responsabilité",4,Chef de Projet Data,,,
screening,1,Avez vous déjà eu ou seriez-vous en mesure de supporter la responsabilité d’un projet data mené par une équipe ?,"Probablement, oui. Bien que mon expérience en tant que leader de projet soit limitée, j'ai participé à plusieurs projets  d'équipe où j'ai pris des rôles de responsabilité croissante.",3,Chef de Projet Data,,,
screening,1,Avez vous déjà eu ou seriez-vous en mesure de supporter la responsabilité d’un projet data mené par une équipe ?,"Peut-être, mais avec certaines réserves. Je n'ai pas beaucoup d'expérience directe dans la gestion de projets d'équipe mais je pense être capable de supporter certaines responsabilités",2,Chef de Projet Data,,,
screening,1,Avez vous déjà eu ou seriez-vous en mesure de supporter la responsabilité d’un projet data mené par une équipe ?,"Non, pas pour le moment. À ce stade de ma carrière, je ne me sens pas prêt à prendre la responsabilité d'un projet mené par une équipe.",1,Chef de Projet Data,,,
screening,2,Êtes-vous capable de comprendre et retranscrire une demande formulée par un professionnel autre que des métiers de la data ?,"Absolument. Au fil des années, j'ai acquis une expérience significative dans la collaboration avec des  professionnels issus de divers secteurs, ce qui m'a permis de développer  une forte capacité d'écoute et de compréhension",4,Chef de Projet Data,,,
screening,2,Êtes-vous capable de comprendre et retranscrire une demande formulée par un professionnel autre que des métiers de la data ?,Plutôt oui. J'ai travaillé sur plusieurs projets interdisciplinaires qui m'ont demandé de collaborer étroitement avec  des professionnels de différents milieux,3,Chef de Projet Data,,,
screening,2,Êtes-vous capable de comprendre et retranscrire une demande formulée par un professionnel autre que des métiers de la data ?,"Plutôt, les données à caractère personnel, si je ne me trompe pas, sont des informations qui peuvent être utilisées pour identifier une personne.",2,Chef de Projet Data,,,
screening,2,Êtes-vous capable de comprendre et retranscrire une demande formulée par un professionnel autre que des métiers de la data ?,"Non, Je suppose que cela se rapporte à des informations privées concernant une personne",1,Chef de Projet Data,,,
expertise,1,Êtes-vous capable de comprendre et retranscrire une demande formulée par un professionnel autre que des métiers de la data ?,"Absolument. Au fil des années, j'ai acquis une expérience significative dans la collaboration avec des professionnels issus de divers secteurs, ce qui m'a permis de développer  une forte capacité d'écoute et de compréhension",4,Chef de Projet Data,,,
expertise,1,Êtes-vous capable de comprendre et retranscrire une demande formulée par un professionnel autre que des métiers de la data ?,Plutôt oui. J'ai travaillé sur plusieurs projets interdisciplinaires qui m'ont demandé de collaborer étroitement avec des professionnels de différents milieux,3,Chef de Projet Data,,,
expertise,1,Êtes-vous capable de comprendre et retranscrire une demande formulée par un professionnel autre que des métiers de la data ?,"Pas encore, ma capacité à comprendre et retranscrire des demandes formulées par des professionnels d'autres secteurs est en développement.",2,Chef de Projet Data,,,
expertise,1,Êtes-vous capable de comprendre et retranscrire une demande formulée par un professionnel autre que des métiers de la data ?,"Non, cela ne fait pas parti de mes compétences",1,Chef de Projet Data,,,
expertise,2,Avez-vous de bonnes capacités relationnelles avec différents types d'acteurs ?,"Absolument, j'ai toujours valorisé et cultivé d'excellentes relations avec différents acteurs, allant des collègues aux clients, en passant par les  partenaires et les fournisseurs",4,Chef de Projet Data,,,
expertise,2,Avez-vous de bonnes capacités relationnelles avec différents types d'acteurs ?,"Plutôt, je me considère compétent dans le développement et le maintien de relations positives avec une variété d'acteurs professionnels",3,Chef de Projet Data,,,
expertise,2,Avez-vous de bonnes capacités relationnelles avec différents types d'acteurs ?,"Moyennement, bien que je sois à l'aise dans mes interactions avec la plupart des acteurs avec lesquels je travaille régulièrement, je reconnais qu'il y a  toujours de la place pour l'amélioration",2,Chef de Projet Data,,,
expertise,2,Avez-vous de bonnes capacités relationnelles avec différents types d'acteurs ?,"Non, pas vraiment. Actuellement, développer et maintenir des relations avec différents types  d'acteurs est quelque chose que je trouve difficile. Je suis souvent  incertain de la meilleure façon d'approcher les interactions",1,Chef de Projet Data,,,
expertise,3,Êtes-vous en mesure de comprendre les langages de programmation Python et SQL ?,"Tout à fait, je maitrise ces langages et suis en mesure de les utiliser",4,Chef de Projet Data,,,
expertise,3,Êtes-vous en mesure de comprendre les langages de programmation Python et SQL ?,"Oui, j'ai une bonne compréhension de ces langages de programmation",3,Chef de Projet Data,,,
expertise,3,Êtes-vous en mesure de comprendre les langages de programmation Python et SQL ?,"Moyennement, ma connaissance de Python et de SQL est actuellement basique",2,Chef de Projet Data,,,
expertise,3,Êtes-vous en mesure de comprendre les langages de programmation Python et SQL ?,"Non, a ce stade, ma compréhension de Python et SQL est très limitée",1,Chef de Projet Data,,,
mastery,1,Avez-vous des capacités de compréhension du RGPD et de droit de la propriété intellectuelle ?,"Oui, au travers de mes formations et de mon expérience je possède une compréhension approfondie des diverses législations",4,Chef de Projet Data,,,
mastery,1,Avez-vous des capacités de compréhension du RGPD et de droit de la propriété intellectuelle ?,"Plutôt, je possède une formation et me suis informé sur ces thématiques",3,Chef de Projet Data,,,
mastery,1,Avez-vous des capacités de compréhension du RGPD et de droit de la propriété intellectuelle ?,"Moyennement, ma compréhension du RGPD et du droit de la propriété intellectuelle est basique et provient principalement d'une autoformation et de quelques expériences pratiques.",2,Chef de Projet Data,,,
mastery,1,Avez-vous des capacités de compréhension du RGPD et de droit de la propriété intellectuelle ?,"Non. Actuellement, ma connaissance du RGPD et du droit de la propriété intellectuelle est limitée",1,Chef de Projet Data,,,
mastery,2,Êtes-vous en mesure de vous former continuellement pour maitriser les nouveautés autour de la donnée ?,"Absolument, je suis engagé dans l'apprentissage continu. La maîtrise des nouveautés dans le domaine de la donnée est très important pour moi.",4,Chef de Projet Data,,,
mastery,2,Êtes-vous en mesure de vous former continuellement pour maitriser les nouveautés autour de la donnée ?,"Oui, je me forme et m'informe plutôt régulièrement sur les nouveautés",3,Chef de Projet Data,,,
mastery,2,Êtes-vous en mesure de vous former continuellement pour maitriser les nouveautés autour de la donnée ?,"Pas vraiment, je comprends l'importance de l'apprentissage continu mais je possède des difficultés à rester informer",2,Chef de Projet Data,,,
mastery,2,Êtes-vous en mesure de vous former continuellement pour maitriser les nouveautés autour de la donnée ?,"Non. Actuellement, je trouve difficile de suivre le rythme des innovations constantes dans le domaine de la donnée.",1,Chef de Projet Data,,,
mastery,3,Savez-vous utiliser les outils de visualisation de données ?,"Absolument. Je maîtrise une variété d'outils de visualisation de données, tels que Tableau, Power BI, et des bibliothèques Python",4,Chef de Projet Data,,,
mastery,3,Savez-vous utiliser les outils de visualisation de données ?,"Plutôt, j'ai déjà utilisé certains outils qui m'ont permis d'acquérir des compétences de visualisation de données",3,Chef de Projet Data,,,
mastery,3,Savez-vous utiliser les outils de visualisation de données ?,Je suis encore en apprentissage. Ma connaissance des outils de visualisation de données est encore en développement. J'ai une compréhension de base de certains outils  populaires,2,Chef de Projet Data,,,
mastery,3,Savez-vous utiliser les outils de visualisation de données ?,"Non, je n'ai pas eu l'occasion d'utiliser de tels outils",1,Chef de Projet Data,,,
screening,1,Savez vous mettre en place des processus qui visent à garantir la qualité des données ?,"Je suis expérimenté.e dans la conception et la mise en œuvre de processus robustes pour garantir la qualité des données tout au long de leur cycle de vie, en utilisant des techniques avancées telles que la gouvernance des données et la gestion des métadonnées.",4,Data Engineer,,,
screening,1,Savez vous mettre en place des processus qui visent à garantir la qualité des données ?,"Je suis capable de déployer des processus pour garantir la qualité des données en utilisant des outils et des techniques spécifiques, comme la validation des données, la déduplication et la surveillance continue.",3,Data Engineer,,,
screening,1,Savez vous mettre en place des processus qui visent à garantir la qualité des données ?,"Je connais les bases, mais je ne suis pas sûr.e de savoir comment mettre en place des processus pour garantir la qualité des données.",2,Data Engineer,,,
screening,1,Savez vous mettre en place des processus qui visent à garantir la qualité des données ?,"Absolument pas, je ne suis pas familiarisé avec la mise en place de processus de qualité des données.",1,Data Engineer,,,
screening,2,Comment évalueriez-vous votre capacité à mettre en place ces processus de mise en qualité via la programmation ?,"Je suis très à l’aise et je mets en place quotidiennement des processus de mise en qualité via un langage de programmation. J'ai une solide expérience dans le développement de scripts et de pipelines automatisés pour traiter les données, ce qui me permet de garantir la qualité et la fiabilité des données à chaque étape.",4,Data Engineer,,,
screening,2,Comment évalueriez-vous votre capacité à mettre en place ces processus de mise en qualité via la programmation ?,Je dispose de bonnes compétences en programmation et je suis confiant dans ma capacité à mettre en place des processus de mise en qualité des données.,3,Data Engineer,,,
screening,2,Comment évalueriez-vous votre capacité à mettre en place ces processus de mise en qualité via la programmation ?,"J'ai quelques bases sur ces processus de mise en qualité, mais je ne suis pas capable de les construire.",2,Data Engineer,,,
screening,2,Comment évalueriez-vous votre capacité à mettre en place ces processus de mise en qualité via la programmation ?,Je suis encore en mode apprentissage sur ces questions.,1,Data Engineer,,,
expertise,1,Que savez-vous sur les bases de données ?,"Je maîtrise plusieurs bases de données, y compris leur conception, leur mise en oeuvre et leur optimisation, et je suis familier.ère avec des technologies telles que MySQL, PostgreSQL, MongoDB, etc.",4,Data Engineer,,,
expertise,1,Que savez-vous sur les bases de données ?,Je connais bien les principes fondamentaux des bases de données et je suis capable de concevoir des schémas de base de données efficaces.,3,Data Engineer,,,
expertise,1,Que savez-vous sur les bases de données ?,"J'ai déjà travaillé avec des bases de données relationnelles et non relationnelles, et je suis capable d'écrire des requêtes SQL complexes.",2,Data Engineer,,,
expertise,1,Que savez-vous sur les bases de données ?,"Ça me dit vaguement quelque chose, mais je n'ai pas une compréhension approfondie.",1,Data Engineer,,,
expertise,2,Savez-vous transformer et préparer un jeu de données ?,"Je suis capable de manipuler des données pour les adapter aux besoins spécifiques de différents projets, en utilisant des méthodes de nettoyage, de transformation et de normalisation, ainsi que des langages comme SQL, Python ou R.",4,Data Engineer,,,
expertise,2,Savez-vous transformer et préparer un jeu de données ?,"Je suis capable de nettoyer, transformer et préparer efficacement des jeux de données de grande taille pour une analyse ultérieure, en utilisant des outils et techniques tels que Pandas, Spark, ou des scripts Python/R",3,Data Engineer,,,
expertise,2,Savez-vous transformer et préparer un jeu de données ?,"Je sais que c'est quelque chose en rapport avec le traitement des données, mais je ne sais pas plus.",2,Data Engineer,,,
expertise,2,Savez-vous transformer et préparer un jeu de données ?,Je n'ai aucune idée de comment transformer ou préparer un jeu de données.,1,Data Engineer,,,
expertise,3,Avez-vous déjà travaillé avec des bases de données relationnelles (SQL) ou des bases de données NoSQL dans le cadre de l'établissement de processus visant à garantir la qualité des données ?,"Je suis expérimenté.e dans la conception, le développement et la gestion de bases de données relationnelles et NoSQL. J'ai travaillé sur des projets variés impliquant la modélisation des données, l'optimisation des requêtes et la mise en oeuvre de solutions de haute disponibilité.",4,Data Engineer,,,
expertise,3,Avez-vous déjà travaillé avec des bases de données relationnelles (SQL) ou des bases de données NoSQL dans le cadre de l'établissement de processus visant à garantir la qualité des données ?,"J'ai une expérience pratique avec les bases de données relationnelles, notamment en SQL, et j'ai également travaillé avec des bases de données NoSQL dans le cadre de projets antérieurs.",3,Data Engineer,,,
expertise,3,Avez-vous déjà travaillé avec des bases de données relationnelles (SQL) ou des bases de données NoSQL dans le cadre de l'établissement de processus visant à garantir la qualité des données ?,"J'ai des connaissances de base, mais je n'ai pas d'expérience pratique avec les bases de données relationnelles ou NoSQL.",2,Data Engineer,,,
expertise,3,Avez-vous déjà travaillé avec des bases de données relationnelles (SQL) ou des bases de données NoSQL dans le cadre de l'établissement de processus visant à garantir la qualité des données ?,"Absolument pas, je ne suis pas familiarisé avec la mise en place de processus de qualité des données.",1,Data Engineer,,,
mastery,1,Êtes-vous capables d’utiliser et de créer des ETL pour intégrer des données dans un datalake?,"Je suis expérimenté dans la conception et la mise en œuvre d'ETL pour intégrer efficacement des données dans un datalake, en utilisant des outils tels que Apache Spark, Apache Airflow ou Talend.",4,Data Engineer,,,
mastery,1,Êtes-vous capables d’utiliser et de créer des ETL pour intégrer des données dans un datalake?,J'ai une expérience pratique avec la création et l'utilisation d'ETL pour intégrer des données dans des environnements de datalake. J'ai travaillé sur plusieurs projets où j'ai conçu et implémenté des pipelines ETL pour traiter et charger des données à grande échelle.,3,Data Engineer,,,
mastery,1,Êtes-vous capables d’utiliser et de créer des ETL pour intégrer des données dans un datalake?,"Je suis familier avec les concepts des ETL et j'ai une certaine expérience dans leur utilisation pour intégrer des données dans un datalake, bien que je puisse encore avoir besoin de développer mes compétences dans ce domaine.",2,Data Engineer,,,
mastery,1,Êtes-vous capables d’utiliser et de créer des ETL pour intégrer des données dans un datalake?,Je n'ai aucune expérience dans l'utilisation ou la création d'ETL pour intégrer des données dans un datalake.,1,Data Engineer,,,
mastery,2,"Êtes-vous familier avec les outils suivants : FastAPI, Spring Boot, Flask et Node.js, dans le contexte de la garantie de qualité des données ?","J'ai une bonne expérience avec Spring Boot et NodeJS, et j'ai utilisé Flask dans quelques projets. FastAPI est un outil que je connais de nom, mais je n'ai pas eu l'occasion de l'utiliser directement.",4,Data Engineer,,,
mastery,2,"Êtes-vous familier avec les outils suivants : FastAPI, Spring Boot, Flask et Node.js, dans le contexte de la garantie de qualité des données ?","Je maîtrise Flask et j'ai une certaine expérience avec FastAPI. Bien que je n'aie pas travaillé directement avec Spring Boot et NodeJS, je suis familier avec leurs concepts.",3,Data Engineer,,,
mastery,2,"Êtes-vous familier avec les outils suivants : FastAPI, Spring Boot, Flask et Node.js, dans le contexte de la garantie de qualité des données ?","Je suis familier avec Flask et Spring Boot, mais je n'ai pas encore travaillé avec FastAPI et NodeJS.",2,Data Engineer,,,
mastery,2,"Êtes-vous familier avec les outils suivants : FastAPI, Spring Boot, Flask et Node.js, dans le contexte de la garantie de qualité des données ?","Je n'ai pas d'expérience pratique avec FastAPI, Spring Boot, Flask ou NodeJS.",1,Data Engineer,,,
mastery,3,"Selon-vous, quelle est l'importance de la CI/CD et de Docker dans le domaine du data engineering ?","La CI/CD est essentielle pour automatiser le processus de développement, de test et de déploiement des pipelines de données, assurant ainsi une livraison rapide et fiable des applications. Docker permet de créer des conteneurs légers et portables, facilitant le déploiement et la gestion des environnements de développement et de production.",4,Data Engineer,,,
mastery,3,"Selon-vous, quelle est l'importance de la CI/CD et de Docker dans le domaine du data engineering ?","La CI/CD et Docker sont des outils populaires mais facultatifs dans le domaine du data engineering. Bien qu'ils offrent des avantages en termes d'automatisation et de gestion des environnements, leur mise en oeuvre n'est pas toujours nécessaire pour atteindre les objectifs de traitement et d'analyse.",3,Data Engineer,,,
mastery,3,"Selon-vous, quelle est l'importance de la CI/CD et de Docker dans le domaine du data engineering ?",La CI/CD et Docker sont des termes souvent mentionnés mais raresment utilisés dans la pratique du data engineering. Leur pertinence est limitée aux projets très complexes et n'est pas une priorité pour la plupart des équipes.,2,Data Engineer,,,
mastery,3,"Selon-vous, quelle est l'importance de la CI/CD et de Docker dans le domaine du data engineering ?",La CI/CD et Docker sont des concepts avancés qui ne sont pas directement applicables au data engineering.,1,Data Engineer,,,
mastery,4,Quelle est votre capacité à créer une API ?,"Je suis capable de créer des API en utilisant des frameworks comme Flask ou FastAPI en Python, ainsi que des outils comme Spring Boot en Java. J'ai déjà développé plusieurs API pour des applications internes et externes.",4,Data Engineer,,,
mastery,4,Quelle est votre capacité à créer une API ?,"J'ai une bonne compréhension des principes de base nécessaires pour créer une API, mais je n'ai pas encore eu beaucoup d'expérience pratique dans ce domaine.",3,Data Engineer,,,
mastery,4,Quelle est votre capacité à créer une API ?,"Je suis familier avec le concept d'API et j'ai une compréhension théorique de la façon dont elles fonctionnent, mais je n'ai pas encore eu l'occasion de créer une API par moi-même.",2,Data Engineer,,,
mastery,4,Quelle est votre capacité à créer une API ?,Je n'ai pas encore eu l'occasion de travailler avec la création d'API.,1,Data Engineer,,,
mastery,5,Savez-vous constituer un catalogue à partir de métadonnées ?,"Oui, je suis capable de constituer un catalogue à partir de métadonnées en utilisant des outils spécialisés tels que Apache Atlas, Collibra, ou encore en développant des solutions personnalisées en fonction des besoins spécifiques du projet.",4,Data Engineer,,,
mastery,5,Savez-vous constituer un catalogue à partir de métadonnées ?,"J'ai une compréhension solide du concept de métadonnées et de leur importance dans la gestion des données. Bien que je n'aie pas encore eu beaucoup d'expérience pratique dans la constitution de catalogues, je suis prêt à apprendre et à mettre en œuvre ces connaissances si nécessaire.",3,Data Engineer,,,
mastery,5,Savez-vous constituer un catalogue à partir de métadonnées ?,"Je connais les métadonnées et je comprends leur utilité dans la gestion des données, mais je n'ai pas encore eu l'occasion de constituer un catalogue à partir de métadonnées.",2,Data Engineer,,,
mastery,5,Savez-vous constituer un catalogue à partir de métadonnées ?,Je n'ai pas encore eu l'occasion de travailler sur la constitution d'un catalogue à partir de métadonnées.,1,Data Engineer,,,
screening,1,Avez-vous conscience qu'il existe une régulation autour de la donnée ? ,"Oui, je suis pleinement conscient de l'existence et de l'importance des régulations autour de la donnée, telles que le RGPD en Europe. Je connait aussi les obligations imposés et droits accordés aux individus.",4,Data Protection Officer,,,
screening,1,Avez-vous conscience qu'il existe une régulation autour de la donnée ? ,"Plutôt, j'ai une bonne connaissance des régulations autour de la donnée. Je connait l'existence des règlements et de leurs enjeux sans être au courant de leurs détails et nuances.",3,Data Protection Officer,,,
