question_type,position,question,reponse,score,profile_type,commentaire-questions,commentaire-reponses,ordre
screening,1,Avez-vous conscience qu'il existe une régulation autour de la donnée ? ,"Moyennement, j'ai entendu parler de l'existence de régulations autour de la protection des données mais je n'en sait pas plus",2,Data Protection Officer,,,
screening,1,Avez-vous conscience qu'il existe une régulation autour de la donnée ? ,"Non, je ne suis pas vraiment au courant qu'il existe des régulations spécifiques",1,Data Protection Officer,,,
screening,2,Savez-vous définir une donnée à caractère personnel ?,"Absolument, les données à caractère personnel sont toutes informations se rapportant à une personne physique identifiée ou identifiable. Je comprends également que sous le RGPD, la protection de ces données est renforcée, requérant consentement explicite pour leur traitement et offrant aux individus des droits étendus sur leurs données.",4,Data Protection Officer,,,
screening,2,Savez-vous définir une donnée à caractère personnel ?,"Oui, je peux définir les données à caractère personnel comme étant toute information relative à une personne physique qui peut être identifiée, directement ou indirectement",3,Data Protection Officer,,,
screening,2,Savez-vous définir une donnée à caractère personnel ?,"Plutôt, les données à caractère personnel, si je ne me trompe pas, sont des informations qui peuvent être utilisées pour identifier une personne.",2,Data Protection Officer,,,
screening,2,Savez-vous définir une donnée à caractère personnel ?,"Non, Je suppose que cela se rapporte à des informations privées concernant une personne",1,Data Protection Officer,,,
expertise,1,Êtes-vous familier avec le RGPD ?,"Tout à fait, je suis familier avec le RGPD. J'ai une connaissance approfondie des principes fondamentaux et des droits qu'il introduit",4,Data Protection Officer,,,
expertise,1,Êtes-vous familier avec le RGPD ?,"Oui, je suis assez familier avec le RGPD. Je sais qu'il a été conçu pour renforcer et unifier la protection des données au sein de l'Union Européenne.",3,Data Protection Officer,,,
expertise,1,Êtes-vous familier avec le RGPD ?,"J'en ai déjà entendu parler, je sais qu'il s'agit d'une réglementation Européenne sur la protection des données",2,Data Protection Officer,,,
expertise,1,Êtes-vous familier avec le RGPD ?,Le RGPD ? J'en ai vaguement entendu parler ou j'ai déja vu ces acronymes quelque part sans savoir ce que cela signifie ou implique.,1,Data Protection Officer,,,
expertise,2,Pouvez-vous organiser des formations sur la protection des données pour le personnel de votre organisation ?,"Oui, je suis tout à fait capable d'organiser et de dispenser des formations sur la protection des données pour le personnel de mon  organisation",4,Data Protection Officer,,,
expertise,2,Pouvez-vous organiser des formations sur la protection des données pour le personnel de votre organisation ?,"Oui, je peux organiser des formations sur la protection des données après m'être documenté sur les aspect les plus récents ou complexes de la réglementation",3,Data Protection Officer,,,
expertise,2,Pouvez-vous organiser des formations sur la protection des données pour le personnel de votre organisation ?,"Pas vraiment, je serais capable de couvrir les bases mais réaliser une formation s’avérerait être un défi pour moi.",2,Data Protection Officer,,,
expertise,2,Pouvez-vous organiser des formations sur la protection des données pour le personnel de votre organisation ?,"Non, je ne me sens pas capable d'organiser des formations sur la protection des données pour le personnel. Mon niveau de connaissance sur  le sujet est limité",1,Data Protection Officer,,,
expertise,3,"Disposez-vous des compétences pour établir une communication efficace avec différents départements au sein de l'organisation, tels que les équipes informatiques et juridiques ?","Oui, je dispose d'une expérience et de compétences avancées pluridisciplinaire me permettant de comprendre, formuler un besoin et interagir avec les équipes juridiques et informatique.",4,Data Protection Officer,,,
expertise,3,"Disposez-vous des compétences pour établir une communication efficace avec différents départements au sein de l'organisation, tels que les équipes informatiques et juridiques ?","Plutôt, je ne possède pas des compétences pluridisciplinaires complètes et suffisante à une interaction",3,Data Protection Officer,,,
expertise,3,"Disposez-vous des compétences pour établir une communication efficace avec différents départements au sein de l'organisation, tels que les équipes informatiques et juridiques ?",Je possède une compréhension de base des principes informatiques et juridiques cependant pas assez suffisant à une interaction avec les services,2,Data Protection Officer,,,
expertise,3,"Disposez-vous des compétences pour établir une communication efficace avec différents départements au sein de l'organisation, tels que les équipes informatiques et juridiques ?","Non, je n'ai pas les compétences nécessaires pour établir une communication avec différents  départements comme les équipes informatiques et juridiques.",1,Data Protection Officer,,,
mastery,1,Savez-vous faire une analyse d’impact relative à la protection des données ?,Je suis parfaitement capable de réaliser une analyse d'impact en autonomie ou en coopération en fonction du projet.,4,Data Protection Officer,,,
mastery,1,Savez-vous faire une analyse d’impact relative à la protection des données ?,"Oui, j'ai de l'expérience dans la réalisation d'analyses d'impact. Je comprends l'importance de cette démarche pour identifier les effets potentiels d'une action ou d'un projet.",3,Data Protection Officer,,,
mastery,1,Savez-vous faire une analyse d’impact relative à la protection des données ?,Je possède une compréhension de base sur ce qu'est une analyse d'impact. Je sais que c'est important pour évaluer l'implication d'un projet mais je n'ai pas les compétences pour en faire.,2,Data Protection Officer,,,
mastery,1,Savez-vous faire une analyse d’impact relative à la protection des données ?,"Non, je ne suis pas certain ce que signifie ou à quoi correspond une analyse d'impact",1,Data Protection Officer,,,
mastery,2,Avez-vous une expérience d’interaction avec les autorités de protection des données liées à des questions de conformité ou de protection des données ?,"Oui, j'ai une expérience approfondie d'interaction avec les autorités de protection des données. Dans mon rôle, j'ai régulièrement géré des communications et des consultations avec ces autorités pour garantir la  conformité de nos pratiques de traitement de données avec le RGPD",4,Data Protection Officer,,,
mastery,2,Avez-vous une expérience d’interaction avec les autorités de protection des données liées à des questions de conformité ou de protection des données ?,"Un peu, dans le cadre de mon emploi j'ai déjà participé à des formations dispensés ou je suis ponctuellement rentré en contact avec l'autorité",3,Data Protection Officer,,,
mastery,2,Avez-vous une expérience d’interaction avec les autorités de protection des données liées à des questions de conformité ou de protection des données ?,Mon expérience d'interaction avec les autorités de protection des données pour des questions de conformité est limitée. J'ai assisté à  quelques séances d'information,2,Data Protection Officer,,,
mastery,2,Avez-vous une expérience d’interaction avec les autorités de protection des données liées à des questions de conformité ou de protection des données ?,"Non, je n'ai pas d'expérience d'interaction directe avec les autorités de protection des données",1,Data Protection Officer,,,
mastery,3,Seriez-vous capable de réaliser un audit RGPD en collaboration ou tout seul ?,"Facile, j'ai déjà réalisé des audit RGPD et je suis en mesure d'en réaliser d'autres",4,Data Protection Officer,,,
mastery,3,Seriez-vous capable de réaliser un audit RGPD en collaboration ou tout seul ?,Je n'ai jamais réalisé d'audit RGPD mais je pense posséder les compétences et connaissances nécessaire à sa réalisation.,3,Data Protection Officer,,,
mastery,3,Seriez-vous capable de réaliser un audit RGPD en collaboration ou tout seul ?,"Ma capacité à réaliser un audit RGPD est limitée, j'ai une compréhension de base et je suis en mesure d'aider à réaliser les tâches préliminaires.",2,Data Protection Officer,,,
mastery,3,Seriez-vous capable de réaliser un audit RGPD en collaboration ou tout seul ?,"Non, je ne serais pas capable de réaliser un audit RGPD par moi-même à ce stade.",1,Data Protection Officer,,,
screening,1,"Selon-vous, qu'est-ce que l'analyse de données ?",Il s'agit de créer des indicateurs à partir de données brutes pour ensuite pouvoir leur donner du sens dans un contexte donné.,4,Data Analyst,,,
screening,1,"Selon-vous, qu'est-ce que l'analyse de données ?",Il s'agit du processus de collecte de données à partir de diverses sources et de les stocker dans une base de données pour une utilisation antérieure.,3,Data Analyst,,,
screening,1,"Selon-vous, qu'est-ce que l'analyse de données ?",Il s'agit de la manipulation de données pour leur donner une apparence plus attrayante. C'est une tâche  de présentation visuelle pour rendre les données plus faciles à comprendre pour les parties prenantes.,2,Data Analyst,,,
screening,1,"Selon-vous, qu'est-ce que l'analyse de données ?",Il s'agit tout simplement de parcourir rapidement les ensembles de données à la recherche de résultats prévisibles.,1,Data Analyst,,,
screening,2,Quel est votre niveau d'expertise en statistiques ?,"J'ai une solide compréhension des principes statistiques, notamment en probabilité, en théorie des échantillonnages et en modélisation statistique. J'ai utilisé des techniques telles que la régression, l'analyse de variance, les tests d'hypothèses et la modélisation prédictive dans mes projets pour analyser des données, identifier des tendances et développer des modèles prédictifs.",4,Data Analyst,,,
screening,2,Quel est votre niveau d'expertise en statistiques ?,"Je suis à l'aise avec les concepts statistiques de base, tels que la moyenne, la médiane, l'écart-type et la distribution normale. J'ai utilisé des méthodes statistiques simples dans mes analyses de données.",3,Data Analyst,,,
screening,2,Quel est votre niveau d'expertise en statistiques ?,J'ai une connaissance limitée des statistiques et je n'ai pas utilisé de méthodes statistiques avancées dans mes projets.,2,Data Analyst,,,
screening,2,Quel est votre niveau d'expertise en statistiques ?,Je n'ai pas de compétences avancées en statistiques.,1,Data Analyst,,,
expertise,1,Savez vous utiliser SQL pour interroger des bases de données ?,"Absolument, je suis un véritable virtuose de SQL pour interroger des bases de données. J'ai écrit des requêtes SQL complexes pour extraire des données pertinentes, effectuer des analyses et générer des rapports.",4,Data Analyst,,,
expertise,1,Savez vous utiliser SQL pour interroger des bases de données ?,"Oui, je peux jongler avec du SQL, mais je cherche toujours à ajouter de nouveaux tours à mon répertoire. J'ai déjà écrit des requêtes simples pour récupérer des données spécifiques à partir de bases de données.",3,Data Analyst,,,
expertise,1,Savez vous utiliser SQL pour interroger des bases de données ?,"J'ai quelques astuces dans ma poche pour utiliser SQL, mais je suis toujours en train de me perfectionner",2,Data Analyst,,,
expertise,1,Savez vous utiliser SQL pour interroger des bases de données ?,"Non, je n'ai pas encore acquis les compétences nécéssaires",1,Data Analyst,,,
expertise,2,Pouvez-vous optimiser des drop tables facts et champs d’un datamart pour améliorer les performances de la base de données ?,"Oui, je peux optimiser des drop tables, facts et un champs d'un datamart. J'ai travaillé sur des projets où j'ai identifié et mis en œuvre des stratégies pour améliorer les performances en ajustant l'indexation, en partitionnant les tables et en optimisant les requêtes SQL.",4,Data Analyst,,,
expertise,2,Pouvez-vous optimiser des drop tables facts et champs d’un datamart pour améliorer les performances de la base de données ?,"Oui, j'ai des connaissances de base en optimisation des bases de données. J'ai une compréhension des concepts fondamentaux de l'optimisation des performances, y compris l'optimisation des tables et des champs.",3,Data Analyst,,,
expertise,2,Pouvez-vous optimiser des drop tables facts et champs d’un datamart pour améliorer les performances de la base de données ?,J'ai quelques notions mais je peux m'améliorer,2,Data Analyst,,,
expertise,2,Pouvez-vous optimiser des drop tables facts et champs d’un datamart pour améliorer les performances de la base de données ?,"Non, je n'ai aucune expérience dans l'optimisation des bases de données.",1,Data Analyst,,,
mastery,1,Pouvez-vous créer des rapports et utiliser le storytelling pour communiquer vos résultats d’analyse ?,"Oui, j'ai une expérience significative dans la création de rapports analytiques qui intègrent des données pertinentes et captivantes, tout en utilisant le storytelling pour contextualiser et donner du sens aux résultats obtenus.",4,Data Analyst,,,
mastery,1,Pouvez-vous créer des rapports et utiliser le storytelling pour communiquer vos résultats d’analyse ?,"Oui, je suis capable de créer des rapports clairs et visuellement attrayants, en utilisant des techniques de storytelling pour rendre les données plus accessibles et engageantes pour les parties prenantes.",3,Data Analyst,,,
mastery,1,Pouvez-vous créer des rapports et utiliser le storytelling pour communiquer vos résultats d’analyse ?,Je suis en mesure de créer des rapports basés sur mes analyses.,2,Data Analyst,,,
mastery,1,Pouvez-vous créer des rapports et utiliser le storytelling pour communiquer vos résultats d’analyse ?,Je n'ai pas beaucoup d'expérience dans la création de rapports ou l'utilisation du storytelling.,1,Data Analyst,,,
mastery,2,Avez-vous la capacité de comprendre et d’analyser des problèmes d’affaires à partir de données ?,"Oui, j'ai une solide expérience dans l'analyse des données et j'ai démontré ma capacité à comprendre et à résoudre des problèmes d'affaires en utilisant des méthodes analytiques et des outils statistiques. Je suis capable d'identifier des tendances, des corrélations et des insights significatifs à partir des données pour aider à prendre des décisions stratégiques.",4,Data Analyst,,,
mastery,2,Avez-vous la capacité de comprendre et d’analyser des problèmes d’affaires à partir de données ?,"Oui, je suis à l'aise pour comprendre les problèmes d'affaires et j'ai les compétences nécessaires pour analyser les données pertinentes afin d'identifier des solutions efficaces.",3,Data Analyst,,,
mastery,2,Avez-vous la capacité de comprendre et d’analyser des problèmes d’affaires à partir de données ?,"Je suis capable de comprendre et d'analyser des problèmes d'affaires à partir de données, bien que je puisse encore améliorer mes compétences analytiques.",2,Data Analyst,,,
mastery,2,Avez-vous la capacité de comprendre et d’analyser des problèmes d’affaires à partir de données ?,"Non, je n'ai pas encore acquis les compétences nécessaires",1,Data Analyst,,,
mastery,3,Connaissez-vous des outils de gestion de Big Data comme Hadoop ou Spark ?,"Absolument, je suis un expert des deux outils. J'ai une solide expérience avec des outils de gestion de Big Data tels que Hadoop et Spark. J'ai travaillé sur des projets où j'ai utilisé ces technologies pour traiter, stocker et analyser de grandes quantités de données de manière efficace. J'ai une compréhension approfondie de leur architecture et de leur fonctionnement, ce qui m'a permis d'optimiser les performances et de résoudre des problèmes complexes liés au Big Data.",4,Data Analyst,,,
mastery,3,Connaissez-vous des outils de gestion de Big Data comme Hadoop ou Spark ?,"Oui, j'ai une certaine expérience avec des outils de gestion de Big Data comme Hadoop et Spark. J'ai eu l'occasion de les utiliser dans le cadre de projets académiques ou professionnels.",3,Data Analyst,,,
mastery,3,Connaissez-vous des outils de gestion de Big Data comme Hadoop ou Spark ?,"Je suis conscient de l'existence d'outils de gestion de Big Data tels que Hadoop et Spark, mais je n'ai pas encore eu l'occasion de les utiliser dans un contexte professionnel ou académique.",2,Data Analyst,,,
mastery,3,Connaissez-vous des outils de gestion de Big Data comme Hadoop ou Spark ?,"Non, je n'ai pas encore entendu parler d'outils de gestion de Big Data comme Hadoop ou Spark.",1,Data Analyst,,,
mastery,4,Avez-vous de l’expérience avec les processus ETL pour intégrer et transformer des données de multiples sources ?,"Oui, j'ai une solide expérience en processus ETL, ayant conçu, développé et mis en œuvre des pipelines pour extraire, nettoyer, transformer et charger des données provenant de multiples sources. Mon expertise garantit des processus efficaces et une qualité de données optimale pour les analyses.",4,Data Analyst,,,
mastery,4,Avez-vous de l’expérience avec les processus ETL pour intégrer et transformer des données de multiples sources ?,"Oui, j'ai une certaine expérience avec les processus ETL pour intégrer et transformer des données de multiples sources. J'ai eu l'occasion de travailler sur des projets où j'ai contribué à la mise en place de pipelines ETL, bien que je puisse encore développer mes compétences dans ce domaine.",3,Data Analyst,,,
mastery,4,Avez-vous de l’expérience avec les processus ETL pour intégrer et transformer des données de multiples sources ?,"J'ai des bases dans les processus ETL, mais je peux encore progresser dans l'intégration et la transformation des données",2,Data Analyst,,,
mastery,4,Avez-vous de l’expérience avec les processus ETL pour intégrer et transformer des données de multiples sources ?,"Non, je n'ai pas encore exploré les processus ETL pour intégrer et transformer des données de multiples sources.",1,Data Analyst,,,
mastery,5,"Êtes-vous capable de gérer un projet d'analyse de données du début à la fin, en incluant la planification,  l'exécution et la livraison ?","Oui, j'ai une expérience solide dans la gestion de projets d'analyse de données. J'ai dirigé plusieurs projets où j'ai été responsable de la planification des tâches, de l'allocation des ressources, de la coordination des équipes et de la communication avec les parties prenantes. J'ai veillé à ce que les projets soient livrés dans les délais et avec les résultats attendus, en suivant les meilleures pratiques de gestion de projet.",4,Data Analyst,,,
mastery,5,"Êtes-vous capable de gérer un projet d'analyse de données du début à la fin, en incluant la planification,  l'exécution et la livraison ?","Oui, j'ai déjà eu l'occasion de gérer des projets d'analyse de données, bien que mon expérience puisse être plus limitée par rapport à certains autres aspects de mon travail. J'ai été impliqué dans la planification, l'exécution et la livraison de projets, mais je suis toujours en train d'apprendre et de perfectionner mes compétences dans le domaine.",3,Data Analyst,,,
mastery,5,"Êtes-vous capable de gérer un projet d'analyse de données du début à la fin, en incluant la planification,  l'exécution et la livraison ?","Je suis confiant dans ma capacité à gérer un projet d'analyse de données, mais je n'ai pas encore eu l'occasion de le faire dans un contexte professionnel.",2,Data Analyst,,,
mastery,5,"Êtes-vous capable de gérer un projet d'analyse de données du début à la fin, en incluant la planification,  l'exécution et la livraison ?","Non, je n'ai pas encore eu l'occasion de gérer un projet d'analyse de données du début à la fin.",1,Data Analyst,,,
screening,1,Dans quelle mesure maîtrisez-vous plusieurs langages de programmation ?,"Oui, je maîtrise plusieurs langages de programmation, notamment Python, R et SQL. J'ai utilisé ces langages dans divers projets de data science pour manipuler, analyser et visualiser des données, ainsi que pour développer des modèles prédictifs et des algorithmes d'apprentissage automatique.",4,Data Scientist,,,
screening,1,Dans quelle mesure maîtrisez-vous plusieurs langages de programmation ?,"Je suis à l'aise avec au moins un langage de programmation adapté à la data science, comme Python ou R. J'ai utilisé ce langage pour effectuer des analyses statistiques, créer des visualisations de données et développer des modèles prédictifs.",3,Data Scientist,,,
screening,1,Dans quelle mesure maîtrisez-vous plusieurs langages de programmation ?,J'ai des connaissances de base en programmation et j'ai déjà utilisé un langage tel que Python ou R pour réaliser des tâches simples en data science.,2,Data Scientist,,,
screening,1,Dans quelle mesure maîtrisez-vous plusieurs langages de programmation ?,Je n'ai pas encore de compétences en programmation,1,Data Scientist,,,
screening,2,Savez-vous créer un modèle mathématique à partir de données brutes ?,"Oui, je suis capable de modéliser et prédire un phénomène à partir de données en utilisant des techniques telles que la régression, les arbres de décision, les réseaux neuronaux, ou d'autres méthodes d'apprentissage automatique et d'analyse statistique.",4,Data Scientist,,,
screening,2,Savez-vous créer un modèle mathématique à partir de données brutes ?,"Oui, j'ai une expérience pratique dans la modélisation et la prédiction de phénomènes à partir de données.",3,Data Scientist,,,
screening,2,Savez-vous créer un modèle mathématique à partir de données brutes ?,"Je n'ai pas une vaste expérience dans la modélisation et la prédiction de phénomènes à partir de données, mais je suis familier avec les concepts et les méthodes utilisées dans ce domaine.",2,Data Scientist,,,
screening,2,Savez-vous créer un modèle mathématique à partir de données brutes ?,"Non, je n'ai pas beaucoup d'expérience dans la modélisation ou la prédiction de phénomènes à partir de données.",1,Data Scientist,,,
expertise,1,Sauriez-vous manipuler des bases de données dans le cadre d’un projet data science ?,"Oui, j'ai une expérience pratique dans la manipulation de bases de données dans des projets de data science. J'ai utilisé SQL et des outils comme Pandas pour extraire, nettoyer, transformer et interroger des données.",4,Data Scientist,,,
expertise,1,Sauriez-vous manipuler des bases de données dans le cadre d’un projet data science ?,"Oui, j'ai des connaissances de base en manipulation de bases de données. J'ai utilisé SQL et des outils comme Excel pour des opérations simples.",3,Data Scientist,,,
expertise,1,Sauriez-vous manipuler des bases de données dans le cadre d’un projet data science ?,Je n'ai pas d'expérience pratique dans la manipulation de bases de données,2,Data Scientist,,,
expertise,1,Sauriez-vous manipuler des bases de données dans le cadre d’un projet data science ?,"Non, je n'ai aucune connaissance dans la manipulation des bases de données.",1,Data Scientist,,,
expertise,2,Suivez-vous une méthodologie de projet ?,"Oui, je suis familier avec différentes méthodologies de projet telles que Agile, Scrum et Waterfall. J'ai une expérience pratique de l'application de ces méthodologies dans des projets précédents, en adaptant l'approche en fonction des besoins spécifiques du projet et de l'équipe.",4,Data Scientist,,,
expertise,2,Suivez-vous une méthodologie de projet ?,"Oui, j'ai une certaine expérience dans l'utilisation de méthodologies de projet telles que Agile ou Waterfall. Bien que je puisse ne pas être expert, j'ai une compréhension des principes de base de ces méthodologies.",3,Data Scientist,,,
expertise,2,Suivez-vous une méthodologie de projet ?,Je n'ai pas une expérience pratique dans l'application de méthodologies de projet formelles,2,Data Scientist,,,
expertise,2,Suivez-vous une méthodologie de projet ?,"Non, je n'ai pas suivi de méthodologie de projet spécifique jusqu'à présent",1,Data Scientist,,,
expertise,3,Utilisez vous régulièrement des outils/frameworks de développement ?,"Oui, j'utilise régulièrement des outils et frameworks de développement tels que Python, R, SQL, et des bibliothèques comme Pandas, NumPy, Scikit-learn pour l'analyse de données et le machine learning.",4,Data Scientist,,,
expertise,3,Utilisez vous régulièrement des outils/frameworks de développement ?,"Oui, j'ai une certaine expérience dans l'utilisation d'outils de développement tels que Python ou R pour l'analyse de données. ",3,Data Scientist,,,
expertise,3,Utilisez vous régulièrement des outils/frameworks de développement ?,"Je n'utilise pas régulièrement des outils ou frameworks de développement, mais j'ai une compréhension de base de certains langages comme Python ou R. ",2,Data Scientist,,,
expertise,3,Utilisez vous régulièrement des outils/frameworks de développement ?,"Non, je n'ai pas beaucoup d'expérience dans l'utilisation d'outils ou frameworks de développement.",1,Data Scientist,,,
mastery,1,La notion de Machine Leaning n'a aucun secret pour vous ?,"Oui, je suis à l'aise avec la notion de ML. J'ai une bonne compréhension des concept de base et j'ai une bonne comprehension des concepts de base et j'ai déjà utilisé des bibliothèques de ML telles que TensorFlow ou PyTorch pour développer des modèles prédictifs ou analyser des données complexes.",4,Data Scientist,,,
mastery,1,La notion de Machine Leaning n'a aucun secret pour vous ?,"Oui, je suis très familier.ère avec cette notion. Je comprends les principes fondamentaux ainsi que les différents types d'algorithmes de Machine Learning. J'ai une expérience pratique dans l'application des différentes techniques pour résoudre des problèmes de classification ou de clustering.",3,Data Scientist,,,
mastery,1,La notion de Machine Leaning n'a aucun secret pour vous ?,"Je suis familier.ère avec cette notion, mais je n'ai peut-être pas une compréhension approfondie de tous ses aspects.",2,Data Scientist,,,
mastery,1,La notion de Machine Leaning n'a aucun secret pour vous ?,"Non, j'en ai peut-être déjà entendu parler mais je ne suis pas familier.ère avec la notion.",1,Data Scientist,,,
mastery,2,"Savez-vous créer un prototype de programme (requête et transformation de données en visualisation, en page web, etc.) ?","Oui, je suis capable de créer un prototype de programme pour la requête et la transformation de données en visualisation ou en page web. J'ai une solide expérience dans l'utilisation de langages de programmation tels que Python ou R, ainsi que dans l'utilisation de bibliothèques spécialisées comme pandas, NumPy, matplotlib, seaborn pour la manipulation et la visualisation des données.",4,Data Scientist,,,
mastery,2,"Savez-vous créer un prototype de programme (requête et transformation de données en visualisation, en page web, etc.) ?","Oui, je suis capable de créer un prototype de programme pour la requête et la transformation de données en visualisation ou en page web. J'ai une expérience pratique dans le développement de scripts et de pipelines de traitement de données. Je peux également utiliser des langages de programmation tels que JavaScript ou HTML pour les interfaces utilisateurs.",3,Data Scientist,,,
mastery,2,"Savez-vous créer un prototype de programme (requête et transformation de données en visualisation, en page web, etc.) ?",Je pourrais créer un prototype mais je pourrais avoir besoin de certaines ressources ou orientations supplémentaires pour le faire efficacement.,2,Data Scientist,,,
mastery,2,"Savez-vous créer un prototype de programme (requête et transformation de données en visualisation, en page web, etc.) ?","Non, je ne sais pas créer un prototype de programme.",1,Data Scientist,,,
mastery,3,"Avez-vous de l’expérience dans la manipulation de données, y compris la réalisation de jointures entre ensembles de données ainsi que l’utilisation de bases de données relationnelles (SQL) ou de bases de données NoSQL ?","Oui, j'ai une expérience significative dans la manipulation de données, y compris la réalisation de jointures entre ensembles de données et l'utilisation de bases de données SQL et NoSQL.",4,Data Scientist,,,
mastery,3,"Avez-vous de l’expérience dans la manipulation de données, y compris la réalisation de jointures entre ensembles de données ainsi que l’utilisation de bases de données relationnelles (SQL) ou de bases de données NoSQL ?",J'ai une certaine expérience dans la manipulation des données et la réalisation de jointures.,3,Data Scientist,,,
mastery,3,"Avez-vous de l’expérience dans la manipulation de données, y compris la réalisation de jointures entre ensembles de données ainsi que l’utilisation de bases de données relationnelles (SQL) ou de bases de données NoSQL ?",J'ai une compréhension théorique mais peu d'expérience pratique dans le domaine.,2,Data Scientist,,,
mastery,3,"Avez-vous de l’expérience dans la manipulation de données, y compris la réalisation de jointures entre ensembles de données ainsi que l’utilisation de bases de données relationnelles (SQL) ou de bases de données NoSQL ?","Non, je n'ai pas d'expérience dans la manipulation de données.",1,Data Scientist,,,
mastery,4,Savez-vous visualiser une API et requêter des données de manière ponctuelle et régulière ?,"Oui, je suis capable de visualiser une API et de requêter des données de manière ponctuelle et régulière. J'ai une solide expérience dans l'utilisation d'outils et de bibliothèques pour interagir avec des API RESTful et récupérer les données nécessaires à mes analyses.",4,Data Scientist,,,
mastery,4,Savez-vous visualiser une API et requêter des données de manière ponctuelle et régulière ?,"Oui, j'ai déjà visualisé des API et effectué des requêtes de données à la fois de manière ponctuelle et régulière. J'ai utilisé des outils tels que Postman ou des bibliothèques comme requests en Python pour interagir avec différentes API et récupérer les données requises pour mes projets.",3,Data Scientist,,,
mastery,4,Savez-vous visualiser une API et requêter des données de manière ponctuelle et régulière ?,"Je suis familier avec la visualisation d'une API et la requête de données, bien que je puisse avoir besoin de rafraîchir mes connaissances sur certains outils spécifiques.",2,Data Scientist,,,
mastery,4,Savez-vous visualiser une API et requêter des données de manière ponctuelle et régulière ?,Je n'ai pas beaucoup d'expérience dans la visualisation d'une API et la requête de données,1,Data Scientist,,,
mastery,5,Avez-vous de l’expérience dans le déploiement de modèles de Machine learning avec des environments de production ?,"Oui, j'ai une expérience significative dans le déploiement de modèles de ML dans des environnements de production, en assurant leur intégration et maintien.",4,Data Scientist,,,
mastery,5,Avez-vous de l’expérience dans le déploiement de modèles de Machine learning avec des environments de production ?,"Oui, mais j'ai une expérience limitée dans le déploiement de modèles de ML dans des environnements de production.",3,Data Scientist,,,
mastery,5,Avez-vous de l’expérience dans le déploiement de modèles de Machine learning avec des environments de production ?,Je n'ai pas directement d'expérience dans le déploiement de modèles de ML en production.,2,Data Scientist,,,
mastery,5,Avez-vous de l’expérience dans le déploiement de modèles de Machine learning avec des environments de production ?,"Non, je n'ai aucune expérience dans ce domaine.",1,Data Scientist,,,